recording	participant	candidate	residual_stage	spatial_rank	residual_protocol	channel_name	band	band_low_hz	band_high_hz	kind	position	authorized_line_hz	neighbouring_line_hz	centre_frequency_hz	injection_start_frequency_hz	injection_drift_hz	injection_occupancy	injection_phase_rad	phase_modulation_hz	phase_deviation_rad	injection_amplitude_v	requested_component_to_background_db	background_recovery_runtime_s	background_residual_runtime_s	injected_recovery_runtime_s	injected_residual_runtime_s	background_residual_round_count	injected_residual_round_count	filter_geometry_changed	injected_frequency_fir_unavailable	background_band_retained_share	injected_band_retained_share	background_terminal_residual_detector_null	background_targeted_local_background_excess_null	stage	injected_energy_v2	difference_energy_v2	measured_component_to_background_db	remaining_fraction	collateral_fraction	amplitude_ratio	component_error_fraction	component_correlation	subspace_phase_error_degrees	band_power_ratio	band_power_change_db	band_phase_error_degrees	terminal_residual_detector_null	targeted_local_background_excess_null	artifact_gate_passed	preservation_gate_passed	offset_hz	tooth_hz
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.675000000000004	51.675000000000004	0.0	0.5	0.4487989505128276	0.0	0.0	7.549604407417287e-08	-10.0	2.640622875012923	13.367840291000903	2.6685728330048732	5.749255791015457	2	2	False	False	1.0	1.0	True	True	final	7.14104161729208e-10	7.892771215681133e-10	-10.0	1.0706272562531176	0.034641644094535316	1.0347111946109009	0.0012051024132838555	0.9999998862571656	0.02732756239271568	1.166026022344746	0.6670824273399145	7.985014894611085	True	True	True		0.075	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.7	51.7	0.0	0.5	0.4487989505128276	0.0	0.0	1.1339246688699395e-07	-10.0	2.640622875012923	13.367840291000903	2.4286008329945616	5.968281375011429	2	2	False	False	1.0	1.0	True	True	recovery	1.610954767386753e-09	1.613883190184944e-09	-10.0	0.9983029444100789	0.0035148737294727725	0.9991511118995359	7.347583853654563e-07	0.9999999929203008	0.006817859221781517	1.0102761342460933	0.0444009377151616	2.7187938985665236					0.1	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.7	51.7	0.0	0.5	0.4487989505128276	0.0	0.0	1.1339246688699395e-07	-10.0	2.640622875012923	13.367840291000903	2.4286008329945616	5.968281375011429	2	2	False	False	1.0	1.0	True	True	final	1.610954767386753e-09	1.6139295330288e-09	-10.0	0.9983219766718223	0.003524608783120574	0.9991606360700077	7.187265053945428e-07	0.9999999928966886	0.006829219345820963	1.0103147645659472	0.04456699740352892	2.7187741022783056	True	True	True		0.1	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.75	51.75	0.0	0.5	0.4487989505128276	0.0	0.0	8.781636994122388e-08	-10.0	2.640622875012923	13.367840291000903	2.3212287499918602	5.646971582988044	2	2	False	False	1.0	1.0	True	True	recovery	9.66189620332354e-10	9.672419539078325e-10	-10.0	0.9996435309264344	0.0014456275092260189	0.9998217495766105	4.7826553375107285e-08	0.9999999919718993	0.007260115220988542	0.9951813713602145	-0.020977620656202754	1.3671286711961963					0.15	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.75	51.75	0.0	0.5	0.4487989505128276	0.0	0.0	8.781636994122388e-08	-10.0	2.640622875012923	13.367840291000903	2.3212287499918602	5.646971582988044	2	2	False	False	1.0	1.0	True	True	final	9.66189620332354e-10	9.672433387902449e-10	-10.0	0.9996356962310252	0.0014548955490240256	0.9998178315228355	4.956209077739904e-08	0.9999999918101395	0.007332892975092712	0.9951922863928997	-0.02092998800746288	1.3671411556969582	True	True	True		0.15	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.800000000000004	51.800000000000004	0.0	0.5	0.4487989505128276	0.0	0.0	7.689026527126084e-08	-10.0	2.640622875012923	13.367840291000903	2.506909416988492	5.551311416988028	2	2	False	False	1.0	1.0	True	True	recovery	7.407206993126147e-10	7.470587966369471e-10	-9.999999999999998	0.9988509174530591	0.009705745443238841	0.9994252935827965	3.668483314036237e-07	0.9999999817090556	0.01095861136343456	1.0089059621381835	0.038506885087381225	2.239714318003192					0.2	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.800000000000004	51.800000000000004	0.0	0.5	0.4487989505128276	0.0	0.0	7.689026527126084e-08	-10.0	2.640622875012923	13.367840291000903	2.506909416988492	5.551311416988028	2	2	False	False	1.0	1.0	True	True	final	7.407206993126147e-10	7.470246997664789e-10	-9.999999999999998	0.9987953185120367	0.009715312363700233	0.9993974777394812	3.99990886282901e-07	0.9999999815099535	0.011018093679374143	1.0088700136546325	0.03835213819547689	2.23971611096685	True	True	True		0.2	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.9	51.9	0.0	0.5	0.4487989505128276	0.0	0.0	8.545180331934205e-08	-10.0	2.640622875012923	13.367840291000903	2.3262429169844836	5.730182833009167	2	2	False	False	1.0	1.0	True	True	recovery	9.148608651806605e-10	9.150063540482858e-10	-10.0	0.9997445094069883	0.0004145190018208382	0.9998722465430213	1.6711871674558348e-08	0.9999999998045122	0.0011329174068558747	1.0001892618221733	0.0008218758776380259	0.5459602906376605					0.3	51.6
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb52	51.2	53.2	intermittent	near	51.6	52.800000000000004	51.9	51.9	0.0	0.5	0.4487989505128276	0.0	0.0	8.545180331934205e-08	-10.0	2.640622875012923	13.367840291000903	2.3262429169844836	5.730182833009167	2	2	False	False	1.0	1.0	True	True	final	9.148608651806605e-10	9.150266464113755e-10	-10.0	0.9997559746154572	0.00042523461212336055	0.9998779798632718	1.5329451403218476e-08	0.9999999997797043	0.0012026556284258287	1.0002222759172628	0.0009652247741345819	0.5459566604597572	True	True	True		0.3	51.6
sub-0003_task-thermalactive_run-1_eeg	sub-0003	multitaper	lines		frozen	Cz	comb59	58.400000000000006	60.400000000000006	stationary	exact	58.800000000000004	60.0	58.800000000000004	58.800000000000004	0.0	1.0	0.4487989505128276	0.0	0.0	1.755900930700612e-07	-10.0	2.8175227920000907	8.736923083022702	2.6142651669797488	4.747083249996649	1	1	False	False	0.22222222222221788	0.22222222222221788	True	True	recovery	7.204134000324006e-09	1.336178177881537e-11	-10.0	1.4807677861061547e-05	0.0018399304181008443	0.0038480745654237976	0.9956154773262479	0.5716274823703881		0.0008103261710659315	-30.913401344780837	81.29901998216212					0.0	58.800000000000004
