recording	participant	candidate	residual_stage	spatial_rank	residual_protocol	channel_name	band	band_low_hz	band_high_hz	kind	position	authorized_line_hz	neighbouring_line_hz	centre_frequency_hz	injection_start_frequency_hz	injection_drift_hz	injection_occupancy	injection_phase_rad	phase_modulation_hz	phase_deviation_rad	injection_amplitude_v	requested_component_to_background_db	background_recovery_runtime_s	background_residual_runtime_s	injected_recovery_runtime_s	injected_residual_runtime_s	background_residual_round_count	injected_residual_round_count	filter_geometry_changed	injected_frequency_fir_unavailable	background_band_retained_share	injected_band_retained_share	background_terminal_residual_detector_null	background_targeted_local_background_excess_null	stage	injected_energy_v2	difference_energy_v2	measured_component_to_background_db	remaining_fraction	collateral_fraction	amplitude_ratio	component_error_fraction	component_correlation	subspace_phase_error_degrees	band_power_ratio	band_power_change_db	band_phase_error_degrees	terminal_residual_detector_null	targeted_local_background_excess_null	artifact_gate_passed	preservation_gate_passed	offset_hz	tooth_hz
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.15	54.15	0.0	0.5	0.4487989505128276	0.0	0.0	1.183932419142696e-07	-10.0	7.233839749998879	12.458333167014644	7.772015333001036	5.442811874992913	2	2	False	False	1.0	1.0	True	False	recovery	1.7561552315344212e-09	1.908165754809808e-09	-10.0	1.0790978401567357	0.007460865216108631	1.0387963420019999	0.0015054233293152225	0.9999998714008858	0.02905720010116937	1.110570601468943	0.4554617283832874	4.150758763346516					0.15	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.15	54.15	0.0	0.5	0.4487989505128276	0.0	0.0	1.183932419142696e-07	-10.0	7.233839749998879	12.458333167014644	7.772015333001036	5.442811874992913	2	2	False	False	1.0	1.0	True	False	final	1.7561552315344212e-09	1.9083094767731438e-09	-10.0	1.079159322776918	0.0074812215819213615	1.0388259347825881	0.001507720747228834	0.9999998712318019	0.029076296192373074	1.110678709389326	0.4558844695234194	4.150900681665163	False	False	False		0.15	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.2	54.2	0.0	0.5	0.4487989505128276	0.0	0.0	9.947526620154718e-08	-10.0	7.233839749998879	12.458333167014644	7.6392010409908835	5.291353124979651	2	2	False	False	1.0	1.0	True	False	recovery	1.23977620678791e-09	1.2401044786479468e-09	-9.999999999999998	0.9986568159605922	0.0016079671980927396	0.9993281823107923	5.490190202338945e-07	0.99999995112716	0.017913174618581995	1.0040045707258158	0.017356899369703097	1.6854037998405815					0.2	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.2	54.2	0.0	0.5	0.4487989505128276	0.0	0.0	9.947526620154718e-08	-10.0	7.233839749998879	12.458333167014644	7.6392010409908835	5.291353124979651	2	2	False	False	1.0	1.0	True	False	final	1.23977620678791e-09	1.2398953934750322e-09	-9.999999999999998	0.9984685371833907	0.001627598463103919	0.9992339751946941	6.845513955539285e-07	0.9999999510838322	0.017921113211559838	1.0038557441441474	0.01671308403236276	1.685449721307913	False	False	False		0.2	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.3	54.3	0.0	0.5	0.4487989505128276	0.0	0.0	6.300739915747434e-08	-10.0	7.233839749998879	12.458333167014644	6.820514291990548	6.853147583984537	2	2	False	False	1.0	1.0	True	False	recovery	4.973917425443687e-10	5.003095612460734e-10	-10.0	0.9988930188748656	0.006973219850325728	0.9994463561766912	3.284400948041609e-07	0.9999999890346233	0.008485021328716372	0.9991099352678041	-0.0038672233122543417	1.5798454028966014					0.3	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.3	54.3	0.0	0.5	0.4487989505128276	0.0	0.0	6.300739915747434e-08	-10.0	7.233839749998879	12.458333167014644	6.820514291990548	6.853147583984537	2	2	False	False	1.0	1.0	True	False	final	4.973917425443687e-10	5.003838638929127e-10	-10.0	0.9990236558800576	0.0069919674055973656	0.9995117087258446	2.603557090784771e-07	0.9999999890309732	0.008486433258990634	0.9992775076574768	-0.003138878420152414	1.5797197806307675	False	False	False		0.3	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.45	54.45	0.0	0.5	0.4487989505128276	0.0	0.0	3.856322833331284e-08	-10.0	7.233839749998879	12.458333167014644	7.533504916995298	6.085060250014067	2	2	False	False	1.0	1.0	True	False	recovery	1.8631873012194055e-10	1.863559959856222e-10	-10.0	0.999706875659478	0.000493135706294994	0.9998534270879297	2.1836915646696356e-08	0.9999999998233257	0.0010770163755457476	1.0002949609291807	0.0012808101540104319	0.7882117391894524					0.45	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.45	54.45	0.0	0.5	0.4487989505128276	0.0	0.0	3.856322833331284e-08	-10.0	7.233839749998879	12.458333167014644	7.533504916995298	6.085060250014067	2	2	False	False	1.0	1.0	True	False	final	1.8631873012194055e-10	1.8638477439382132e-10	-10.0	0.9998511973934601	0.0005032719174558323	0.9999255959287471	5.9056175274315604e-09	0.9999999998151603	0.0011016229117515445	1.000479591381957	0.0020823396113604925	0.7881608675188986	False	False	False		0.45	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.6	54.6	0.0	0.5	0.4487989505128276	0.0	0.0	8.512223200012006e-08	-10.0	7.233839749998879	12.458333167014644	8.756467333005276	5.7292596669867635	2	2	False	False	1.0	1.0	True	False	recovery	9.078149752127611e-10	9.078842852888271e-10	-10.0	0.9995596452431597	0.0005167029973660768	0.9997797983772024	4.848878646482993e-08	0.9999999999999842	1.0215549627426738e-05	1.0000745089998848	0.0003235764204930035	0.466184479875289					0.6	54.0
sub-0010_task-thermalactive_run-1_eeg	sub-0010	multitaper	lines		frozen	Cz	comb54	53.6	55.6	intermittent	near	54.0	55.2	54.6	54.6	0.0	0.5	0.4487989505128276	0.0	0.0	8.512223200012006e-08	-10.0	7.233839749998879	12.458333167014644	8.756467333005276	5.7292596669867635	2	2	False	False	1.0	1.0	True	False	final	9.078149752127611e-10	9.079900410055789e-10	-10.0	0.9996565197178711	0.0005363233146857688	0.9998282451090642	2.950070382606767e-08	0.999999999999519	5.6179912264507424e-05	1.0002121883829627	0.0009214246840965294	0.466173752696027	False	False	False		0.6	54.0
