recording	participant	candidate	residual_stage	spatial_rank	residual_protocol	channel_name	band	band_low_hz	band_high_hz	kind	position	authorized_line_hz	neighbouring_line_hz	centre_frequency_hz	injection_start_frequency_hz	injection_drift_hz	injection_occupancy	injection_phase_rad	phase_modulation_hz	phase_deviation_rad	injection_amplitude_v	requested_component_to_background_db	background_recovery_runtime_s	background_residual_runtime_s	injected_recovery_runtime_s	injected_residual_runtime_s	background_residual_round_count	injected_residual_round_count	filter_geometry_changed	injected_frequency_fir_unavailable	background_band_retained_share	injected_band_retained_share	background_terminal_residual_detector_null	background_targeted_local_background_excess_null	stage	injected_energy_v2	difference_energy_v2	measured_component_to_background_db	remaining_fraction	collateral_fraction	amplitude_ratio	component_error_fraction	component_correlation	subspace_phase_error_degrees	band_power_ratio	band_power_change_db	band_phase_error_degrees	terminal_residual_detector_null	targeted_local_background_excess_null	artifact_gate_passed	preservation_gate_passed
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	drifting	near	80.400000000000006	81.650000000000006	80.600000000000009	80.400000000000006	0.40000000000000002	1	0.44879895051282759	0	0	5.2838188514612015e-08	-10	6.0616729170142207	12.54148533398984	6.7261482499889098	5.4115935410081875	2	2	False	False	1	1	True	False	recovery	7.085170883385515e-10	6.0603092328964434e-10	-10	0.7718556250538835	0.083495548918184906	0.87855314298788068	0.014749570767904861	0.99999986814128183	0.029423355100839012	0.86082610607111198	-0.65084570731231417	3.4526741493437623				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	drifting	near	80.400000000000006	81.650000000000006	80.600000000000009	80.400000000000006	0.40000000000000002	1	0.44879895051282759	0	0	5.2838188514612015e-08	-10	6.0616729170142207	12.54148533398984	6.7261482499889098	5.4115935410081875	2	2	False	False	1	1	True	False	final	7.085170883385515e-10	6.0602952919785711e-10	-10	0.77185311166081028	0.083496094692117453	0.87855171257064335	0.014749917964585847	0.99999986828034182	0.029407835842620265	0.86082511285132113	-0.65085071819802376	3.4526726340245819	False	False	False	
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	intermittent	near	80.400000000000006	81.650000000000006	80.600000000000009	80.600000000000009	0	0.5	0.44879895051282759	0	0	8.9347786781856745e-08	-10	6.0616729170142207	12.54148533398984	6.4158269590116106	5.4013826660229824	2	2	False	False	1	1	True	False	recovery	1.0129658769425942e-09	1.0128307660072437e-09	-10	0.99889646061483195	0.00097015785832683108	0.99944807799846813	3.0482966038975855e-07	0.99999999989405908	0.0008340115523947449	1.0032761670236885	0.014204956381678076	0.42838568946442035				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	intermittent	near	80.400000000000006	81.650000000000006	80.600000000000009	80.600000000000009	0	0.5	0.44879895051282759	0	0	8.9347786781856745e-08	-10	6.0616729170142207	12.54148533398984	6.4158269590116106	5.4013826660229824	2	2	False	False	1	1	True	False	final	1.0129658769425942e-09	1.0128275921860679e-09	-10	0.99889119211740185	0.0009722931591606193	0.99944544229157495	3.0774545411128892e-07	0.99999999989433985	0.0008329042868016796	1.0032751478584638	0.014200544654652366	0.42838875140630656	False	False	False	
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	phase_modulated	near	80.400000000000006	81.650000000000006	80.600000000000009	80.600000000000009	0	1	0.44879895051282759	0.10000000000000001	1	4.8875849324978724e-08	-10	6.0616729170142207	12.54148533398984	6.2850022920174524	5.0995841670082882	2	2	False	False	1	1	True	False	recovery	6.062373035013043e-10	6.0019593674540128e-10	-10	0.97768635076499544	0.012348299493106746	0.98878023380577118	0.0001258988052437605	0.99999999208530355	0.007208658038743782	0.95780137422619216	-0.18724544179583585	5.1697775974172107				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	phase_modulated	near	80.400000000000006	81.650000000000006	80.600000000000009	80.600000000000009	0	1	0.44879895051282759	0.10000000000000001	1	4.8875849324978724e-08	-10	6.0616729170142207	12.54148533398984	6.2850022920174524	5.0995841670082882	2	2	False	False	1	1	True	False	final	6.062373035013043e-10	6.0019467705584617e-10	-10	0.97768301964868276	0.01234955272758176	0.98877854934696208	0.0001259363178116482	0.99999999223129754	0.007141863495454782	0.95780025134961388	-0.18725053324173249	5.1697692683676184	False	False	False	
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	stationary	between	80.400000000000006	81.650000000000006	81.025000000000006	81.025000000000006	0	1	0.44879895051282759	0	0	6.2729555648622038e-08	-10	6.0616729170142207	12.54148533398984	5.8978213329974096	5.4991937089944258	2	2	False	False	1	1	True	False	recovery	9.9861690225319517e-10	9.9926336945059247e-10	-9.9999999999999982	1.0000235299706519	0.00062383259246431638	1.0000117649161193	9.6572526888680924e-10	0.99999999958634889	0.001647991158968877	1.0006956468090584	0.0030201053636967224	0.75349709981870572				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	stationary	between	80.400000000000006	81.650000000000006	81.025000000000006	81.025000000000006	0	1	0.44879895051282759	0	0	6.2729555648622038e-08	-10	6.0616729170142207	12.54148533398984	5.8978213329974096	5.4991937089944258	2	2	False	False	1	1	True	False	final	9.9861690225319517e-10	9.9926016114423068e-10	-9.9999999999999982	1.0000203419670202	0.00062380784618317701	1.0000101709317861	9.0785730599693616e-10	0.99999999959779928	0.0016250216065526173	1.0006929928507551	0.003008587366407195	0.75349815040482493	False	False	False	
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	drifting	between	80.400000000000006	81.650000000000006	81.025000000000006	80.825000000000003	0.40000000000000002	1	0.44879895051282759	0	0	5.0838649149635219e-08	-10	6.0616729170142207	12.54148533398984	6.4192972090095282	6.1218832909944467	2	2	False	False	1	1	True	False	recovery	6.5590735066255352e-10	6.5667457038590018e-10	-10	1.0000452369552366	0.0011244705081616443	1.0000226182218264	5.3021109151724349e-10	0.99999999999068667	0.0002472810662011232	1.0012078565283995	0.0052424888019634948	0.94074845120972794				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	drifting	between	80.400000000000006	81.650000000000006	81.025000000000006	80.825000000000003	0.40000000000000002	1	0.44879895051282759	0	0	5.0838649149635219e-08	-10	6.0616729170142207	12.54148533398984	6.4192972090095282	6.1218832909944467	2	2	False	False	1	1	True	False	final	6.5590735066255352e-10	6.5667356009519578e-10	-10	1.0000437271158471	0.0011244400526776706	1.0000218633189213	4.9344991361837296e-10	0.99999999999227762	0.0002251722050797851	1.0012069425734653	0.005238524332815543	0.94074846304347748	False	False	False	
