recording	participant	comb_db_before	comb_db_after	teeth_tested	teeth_proud_2db_before	teeth_proud_2db_after	teeth_above_null_p99_after	null_p99_db	null_bins	correlation	change_rms
sub-0005_task-thermalactive_run-5_eeg	sub-0005	3.25	0.29	63	36	3	1	2.66	150	0.99411	0.04812
sub-0006_task-thermalactive_run-1_eeg	sub-0006	1.37	0.11	63	20	3	0	23.51	150	0.99427	0.06088
sub-0006_task-thermalactive_run-2_eeg	sub-0006	1.12	0.11	63	15	5	1	40.1	150	0.98772	0.10076
sub-0006_task-thermalactive_run-3_eeg	sub-0006	4.28	-0.54	63	43	2	2	3.11	150	0.99193	0.07231
sub-0006_task-thermalactive_run-4_eeg	sub-0006	3.84	-0.59	63	43	0	0	3.79	150	0.99421	0.05537
sub-0006_task-thermalactive_run-5_eeg	sub-0006	5.12	-0.57	63	45	3	1	3.67	150	0.99236	0.06744
sub-0006_task-thermalactive_run-6_eeg	sub-0006	4.82	-0.69	63	47	5	1	5.05	150	0.98801	0.07321
sub-0007_task-thermalactive_run-1_eeg	sub-0007	2.18	0.33	63	30	0	0	1.57	150	0.99631	0.06021
sub-0007_task-thermalactive_run-2_eeg	sub-0007	3.13	-0.16	63	37	0	0	2.3	150	0.9967	0.06251
sub-0007_task-thermalactive_run-3_eeg	sub-0007	2.92	-0.22	63	37	2	1	2.68	150	0.99719	0.05933
sub-0007_task-thermalactive_run-5_eeg	sub-0007	3.05	-0.09	63	40	2	0	3.86	150	0.99843	0.04592
sub-0007_task-thermalactive_run-4_eeg	sub-0007	2.2	-0.03	63	32	3	1	19.56	150	0.99729	0.05837
sub-0007_task-thermalactive_run-6_eeg	sub-0007	3.54	-0.2	63	40	3	0	5.34	150	0.99776	0.04689
sub-0008_task-thermalactive_run-1_eeg	sub-0008	4.01	-0.39	63	42	1	0	3.5	150	0.98769	0.08455
sub-0008_task-thermalactive_run-2_eeg	sub-0008	4.81	-0.43	63	43	1	0	5.09	150	0.98525	0.07883
sub-0008_task-thermalactive_run-3_eeg	sub-0008	5.03	-0.32	63	46	4	0	3.09	150	0.98466	0.0667
sub-0008_task-thermalactive_run-4_eeg	sub-0008	5.12	-0.15	63	47	3	1	6.05	150	0.90087	0.16587
sub-0008_task-thermalactive_run-5_eeg	sub-0008	4.87	-0.39	63	45	3	0	4.27	150	0.98204	0.0479
sub-0008_task-thermalactive_run-6_eeg	sub-0008	5.22	0.04	63	46	3	0	3.03	150	0.98213	0.04509
sub-0009_task-thermalactive_run-1_eeg	sub-0009	3.96	-0.51	63	37	0	5	1.42	150	0.99751	0.05978
sub-0009_task-thermalactive_run-2_eeg	sub-0009	4.55	0.17	63	41	2	1	2.48	150	0.99357	0.07065
sub-0009_task-thermalactive_run-3_eeg	sub-0009	4.67	-0.49	63	43	1	2	1.88	150	0.99255	0.06598
sub-0009_task-thermalactive_run-5_eeg	sub-0009	2.86	-0.23	63	37	2	0	5.57	150	0.99777	0.04421
sub-0009_task-thermalactive_run-4_eeg	sub-0009	4.92	-0.43	63	43	3	2	4.62	150	0.9945	0.05413
sub-0009_task-thermalactive_run-6_eeg	sub-0009	4.46	-0.23	63	39	3	0	4.61	150	0.97334	0.1141
sub-0010_task-thermalactive_run-2_eeg	sub-0010	3.1	-0.12	63	37	1	0	3.73	150	0.99519	0.07103
sub-0010_task-thermalactive_run-1_eeg	sub-0010	1.43	0.03	63	21	4	1	7.15	150	0.99034	0.10576
sub-0010_task-thermalactive_run-3_eeg	sub-0010	2.54	0.05	63	34	1	0	3.88	150	0.99518	0.06434
sub-0010_task-thermalactive_run-4_eeg	sub-0010	3.51	-0.06	63	38	2	1	2.9	150	0.99402	0.06096
sub-0010_task-thermalactive_run-6_eeg	sub-0010	3.05	-0.49	63	37	2	2	4.13	150	0.99481	0.04415
sub-0010_task-thermalactive_run-5_eeg	sub-0010	2.55	-0.14	63	37	4	0	6.38	150	0.99451	0.05244
sub-0011_task-thermalactive_run-1_eeg	sub-0011	3.33	-0.81	63	39	2	0	3.41	150	0.98948	0.09322
sub-0011_task-thermalactive_run-2_eeg	sub-0011	2.67	-0.0	63	36	0	0	2.67	150	0.96218	0.16104
sub-0011_task-thermalactive_run-3_eeg	sub-0011	2.29	0.31	63	32	0	0	2.0	150	0.98801	0.07033
sub-0011_task-thermalactive_run-4_eeg	sub-0011	4.17	-0.81	63	42	4	1	20.39	150	0.98726	0.05637
sub-0011_task-thermalactive_run-6_eeg	sub-0011	4.5	-1.11	63	43	3	1	4.81	150	0.98683	0.0406
sub-0011_task-thermalactive_run-5_eeg	sub-0011	2.6	0.0	63	37	4	0	7.7	150	0.98593	0.05087
