recording	participant	arm	n_targets	n_scanner_harmonics	fir_rounds	n_fir_stopbands	peaks_above_2dB	peaks_above_null_p99	null_p99_db	null_frac_over_2db	comb_db	damage_half_hz	unavail_hz_total	unavail_hz_fir_only	correlation	change_rms	delta_kept	delta_kept_fir_only	theta_kept	theta_kept_fir_only	alpha_kept	alpha_kept_fir_only	beta_kept	beta_kept_fir_only	gamma_kept	gamma_kept_fir_only
sub-0010_task-thermalactive_run-5_eeg	sub-0010	derived_shipped	105	5	2	12	32	2	6.18	0.1407	0.3	0.2	27.41	7.8	0.99245	0.06147	1.0	1.0	1.0	1.0	1.0	1.0	0.8294	0.8529	0.7148	0.9569
sub-0010_task-thermalactive_run-6_eeg	sub-0010	derived_shipped	118	3	2	12	27	16	4.04	0.0444	-0.29	0.2	28.77	7.45	0.9926	0.05268	1.0	1.0	1.0	1.0	1.0	1.0	0.775	0.8382	0.7	0.9289
sub-0011_task-thermalactive_run-1_eeg	sub-0011	derived_shipped	123	2	2	8	15	11	3.24	0.1418	-1.18	0.2	26.73	4.7	0.98901	0.09527	1.0	1.0	1.0	1.0	1.0	1.0	0.9353	1.0	0.6982	0.9509
sub-0011_task-thermalactive_run-2_eeg	sub-0011	derived_shipped	106	2	2	11	24	21	2.86	0.0572	-0.26	0.2	26.68	7.45	0.98174	0.11249	0.8506	1.0	1.0	1.0	1.0	1.0	0.9706	1.0	0.741	0.9679
sub-0011_task-thermalactive_run-3_eeg	sub-0011	derived_shipped	78	2	2	12	11	10	2.31	0.0375	0.34	0.2	20.51	3.8	0.98786	0.07077	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7568	0.9489
sub-0012_task-thermalactive_run-1_eeg	sub-0012	derived_shipped	105	6	1	6	20	14	3.25	0.0417	0.11	0.2	25.83	3.9	0.99844	0.04942	1.0	1.0	1.0	1.0	1.0	1.0	0.9412	1.0	0.7012	0.9269
sub-0011_task-thermalactive_run-5_eeg	sub-0011	derived_shipped	107	2	3	13	16	13	2.5	0.0217	-0.08	0.2	24.28	3.65	0.98683	0.04923	1.0	1.0	1.0	1.0	1.0	1.0	0.9118	1.0	0.7488	0.9699
sub-0011_task-thermalactive_run-4_eeg	sub-0011	derived_shipped	133	3	2	13	29	10	3.38	0.1	-1.13	0.2	29.11	4.0	0.98826	0.05414	1.0	1.0	1.0	1.0	1.0	1.0	0.9059	1.0	0.6657	0.9489
sub-0011_task-thermalactive_run-6_eeg	sub-0011	derived_shipped	128	2	3	16	33	11	3.93	0.1004	-0.31	0.2	29.11	4.75	0.98699	0.04035	1.0	1.0	1.0	1.0	1.0	1.0	0.8809	0.9676	0.6622	0.9329
sub-0012_task-thermalactive_run-2_eeg	sub-0012	derived_shipped	110	4	2	11	28	25	2.71	0.0433	0.16	0.2	24.61	5.07	0.99911	0.04051	1.0	1.0	1.0	1.0	1.0	1.0	0.9765	1.0	0.7393	0.9469
